ID,FolderExists
00e72buhyaqt6jtf,yes
35q2x50nf64mcoiu,no
64459pzy8c3od0l0,no
81y029p7tzmbvouw,yes
aivugbfjewl3g8yk,no
cev8azl1p0ak9z45,yes
ea5l3fowuiaib3py,no
gvkpvi22cjsvo3dj,yes
jgrbmkso2xre0ivf,yes
lwucitgdj8y5we0v,yes
obecgegr4yilivnl,yes
rqb3js1rcq1660p3,yes
vsiiqttr6rsw9xu3,no
xjqhrm78gdsuudx4,no
z7euhcpka3m9emq5,yes
09l77o309nqdnxlk,no
3o0abud9pi9edj05,no
68gxvamq0o7zzl78,yes
83tr7u7t20k3ky3b,no
akd088uifiyktpad,yes
cnbxe9dfy99lipy7,yes
ecwjw9fgk27db8ck,yes
hi4v4n20rcejm7x4,yes
jn87iueuraz029cg,no
osf8gb6xoxpj462a,no
rtlkfg7cch6ftyxu,no
vvt5k8xjmsnkvivv,yes
xnk57oqoogfhfinc,no
zdc5j97mg4r0teks,yes
0jfrhgu5shczzi2k,no
438b7f6r91jf5ost,no
6lxq2an8xcfeh7cr,no
8dnbovsg6ekn1k2o,no
akiosz5upjtg68a9,no
cnp69id8431b0wku,no
ekwmd4jgcqq5rgrk,yes
hneaaax01zvhn01r,no
jrzmqibeytbnjxmn,no
p8f8xsq14cp8m3l9,no
rwnsuh6zr4gtnrvd,yes
w2z7tw0auj5osphh,yes
xoqsqx9syza79x61,no
zmnpwv4dp4x50ln1,no
12fa4trts3s743vv,no
4ax7q7uwwnd0cj1z,no
6oywfswe39onlid8,yes
8gnx65lqu7yp1ywf,no
axu1svtc91uldeci,yes
elomsmv5zeuweyax,yes
hnvjdlir1kvdrxao,yes
k0plktl01k44uvzh,no
mlk016w9c7kzxy4e,no
pddkpd4jcfy48vdv,no
s488svctop9d9jg3,no
w74u9izwvvkoajk2,no
xox0j28yf1wufjoo,yes
zpdft7pvddqbytx4,yes
12klb2za3d6peyvk,yes
4q9gjacy4so4kvtn,no
6pqf4dtalrm33dgh,yes
8ydza3zfb0dp6xdj,no
b26f58ea829uidpl,yes
cpcdl5wocfrs96ku,no
eodjkuujtq3w9hwn,no
ib3wfbwrqk9deuh1,yes
k9o6hbt3g1y6hxya,yes
n0d79gpppezoq1aw,no
pysvzy54kgxqfl00,yes
s7vq8tic5woo8ajy,yes
whchhoy73vxt6usd,no
xuqmtnygooyn825m,yes
1jc7kyo19o5d8c4l,yes
5anrasyklvontqx0,yes
76luo1mj42hhvsh2,yes
99j8hn7cgye6lorf,no
bo4eieklu1gc8ymf,no
d7go54yhmbs7kdsc,no
fu8z7w5mbu09mwm2,yes
keih9uxtrl8javom,yes
n0qtgnl4klta06m0,yes
q0pfy25qr4xmll9a,no
s8gjw8t5hxbwqf2h,no
wjk4oug8mnakbnqd,yes
y24woeh9lpxrx4ud,yes
23e271q46n71zrnl,no
5ckyh4zk8qhmrzo2,yes
7gudtymsemwxdkom,yes
9hi117g9qhfaylzg,no
bq26akqse8q82bto,yes
dqfdi2h6dhhk3azv,yes
g2spqq41sgp9ahkl,yes
inkhmfuacc7mwubz,yes
kfp2uidrqjzj8lcw,yes
nbi0p2lp52dksqxk,no
qbh2mzhfnyjd64jx,yes
srd4pwog73m2t6bw,no
x0edu4tsdm73v5ao,no
y2bhr627fldcjebi,yes
2a643w5w01c4qxft,no
5p59odmgwp5f7773,no
7kriteapvi20buoa,yes
9o89xyvik6wkg7dh,yes
brgcr32itnq7ehof,yes
dqjpsnqy18riv0fr,yes
g2xach3owy7s92od,yes
iuwicpkxgy3reyfa,yes
kh8gw1tbirqs2m7l,no
nj5nyucwx5b0wmqw,no
qr0ec31zz2plf67k,yes
tcth2v5x76j4cm2r,yes
x1ffmhz0wy4w7bqa,no
y505ix8plcmxq32l,yes
2p11uitk6mm8jqt8,yes
5rmero3l7hfh3zv2,yes
7ltngyyxod2d6ytn,no
ae33269ngd2vpvmq,yes
c6urj1ld0na5ks5c,yes
dqnnqm2ei3i9x2pt,no
gssxqcx2duim53gr,yes
iw28wht6zibydq81,yes
kryezf24e3vuua4k,yes
nu6qzrwi94aykfc6,yes
r4vyjkwd5kw24e52,yes
u89ris3cdb8uvenh,yes
xf5ngvz6vou44q48,no
yf8vu2mtg3xtr84p,no
2zps1kliryu7vxhm,no
5vpurvowqtk1zctp,yes
7x45olzlzxcoeqzh,no
af930jhoq4atp6ys,no
cdu4g3kd2p3oy23g,yes
dvubipojaejm0vfq,no
gv5e9mtnsyux780m,no
j2ga9fu4zsmepa67,yes
lbtvvd4ftx2t4o6k,yes
nucdpr6x4sqcezur,yes
rbakgp61x79z0pnl,no
ur0uyfaekzs0rtnc,no
xhoxel1dt8cczb2e,no
ypq7iowogi8msm0m,no
